Num,AE,FE,Megye,OEVK,Settlement,Station
1,1001,845,BUDAPEST,1,Budapest I. kerület,1
2,976,796,BUDAPEST,1,Budapest I. kerület,2
3,1030,677,BUDAPEST,1,Budapest I. kerület,3
4,946,722,BUDAPEST,1,Budapest I. kerület,4
5,917,740,BUDAPEST,1,Budapest I. kerület,5
6,1007,822,BUDAPEST,1,Budapest I. kerület,6
7,917,727,BUDAPEST,1,Budapest I. kerület,7
8,886,711,BUDAPEST,1,Budapest I. kerület,8
9,1030,822,BUDAPEST,1,Budapest I. kerület,9
10,934,761,BUDAPEST,1,Budapest I. kerület,10
11,979,802,BUDAPEST,1,Budapest I. kerület,11
12,1026,815,BUDAPEST,1,Budapest I. kerület,12
13,1074,857,BUDAPEST,1,Budapest I. kerület,13
14,987,799,BUDAPEST,1,Budapest I. kerület,14
15,964,764,BUDAPEST,1,Budapest I. kerület,15
16,910,756,BUDAPEST,1,Budapest I. kerület,16
17,1036,827,BUDAPEST,1,Budapest I. kerület,17
18,1023,818,BUDAPEST,1,Budapest I. kerület,18
19,981,786,BUDAPEST,1,Budapest I. kerület,19
20,937,747,BUDAPEST,1,Budapest I. kerület,20
21,869,642,BUDAPEST,1,Budapest V. kerület,1
22,770,554,BUDAPEST,1,Budapest V. kerület,2
23,717,542,BUDAPEST,1,Budapest V. kerület,3
24,885,702,BUDAPEST,1,Budapest V. kerület,4
25,922,676,BUDAPEST,1,Budapest V. kerület,5
26,782,585,BUDAPEST,1,Budapest V. kerület,6
27,847,618,BUDAPEST,1,Budapest V. kerület,7
28,887,680,BUDAPEST,1,Budapest V. kerület,9
29,524,377,BUDAPEST,1,Budapest V. kerület,10
30,682,430,BUDAPEST,1,Budapest V. kerület,11
31,956,712,BUDAPEST,1,Budapest V. kerület,12
32,898,668,BUDAPEST,1,Budapest V. kerület,13
33,958,712,BUDAPEST,1,Budapest V. kerület,14
34,869,651,BUDAPEST,1,Budapest V. kerület,15
35,820,611,BUDAPEST,1,Budapest V. kerület,16
36,792,606,BUDAPEST,1,Budapest V. kerület,17
37,836,641,BUDAPEST,1,Budapest V. kerület,18
38,853,673,BUDAPEST,1,Budapest V. kerület,19
39,946,722,BUDAPEST,1,Budapest V. kerület,20
